# 전국 시군구 법정동코드(LAWD_CD 5자리) → 표시명, 지오코딩 주소
# 형식: code,name,addr  (# 주석/빈 줄 무시)
# 강원=51, 전북=52(특별자치도 재부여 코드. 국토부 실거래가 API 실측 기준), 군위=대구 27720
code,name,addr
# === 11 서울특별시 ===
11110,종로구,서울 종로구
11140,중구,서울 중구
11170,용산구,서울 용산구
11200,성동구,서울 성동구
11215,광진구,서울 광진구
11230,동대문구,서울 동대문구
11260,중랑구,서울 중랑구
11290,성북구,서울 성북구
11305,강북구,서울 강북구
11320,도봉구,서울 도봉구
11350,노원구,서울 노원구
11380,은평구,서울 은평구
11410,서대문구,서울 서대문구
11440,마포구,서울 마포구
11470,양천구,서울 양천구
11500,강서구,서울 강서구
11530,구로구,서울 구로구
11545,금천구,서울 금천구
11560,영등포구,서울 영등포구
11590,동작구,서울 동작구
11620,관악구,서울 관악구
11650,서초구,서울 서초구
11680,강남구,서울 강남구
11710,송파구,서울 송파구
11740,강동구,서울 강동구
# === 26 부산광역시 ===
26110,중구,부산 중구
26140,서구,부산 서구
26170,동구,부산 동구
26200,영도구,부산 영도구
26230,부산진구,부산 부산진구
26260,동래구,부산 동래구
26290,남구,부산 남구
26320,북구,부산 북구
26350,해운대구,부산 해운대구
26380,사하구,부산 사하구
26410,금정구,부산 금정구
26440,강서구,부산 강서구
26470,연제구,부산 연제구
26500,수영구,부산 수영구
26530,사상구,부산 사상구
26710,기장군,부산 기장군
# === 27 대구광역시 ===
27110,중구,대구 중구
27140,동구,대구 동구
27170,서구,대구 서구
27200,남구,대구 남구
27230,북구,대구 북구
27260,수성구,대구 수성구
27290,달서구,대구 달서구
27710,달성군,대구 달성군
27720,군위군,대구 군위군
# === 28 인천광역시 ===
28110,중구,인천 중구
28140,동구,인천 동구
28177,미추홀구,인천 미추홀구
28185,연수구,인천 연수구
28200,남동구,인천 남동구
28237,부평구,인천 부평구
28245,계양구,인천 계양구
28260,서구,인천 서구
28710,강화군,인천 강화군
28720,옹진군,인천 옹진군
# === 29 광주광역시 ===
29110,동구,광주 동구
29140,서구,광주 서구
29155,남구,광주 남구
29170,북구,광주 북구
29200,광산구,광주 광산구
# === 30 대전광역시 ===
30110,동구,대전 동구
30140,중구,대전 중구
30170,서구,대전 서구
30200,유성구,대전 유성구
30230,대덕구,대전 대덕구
# === 31 울산광역시 ===
31110,중구,울산 중구
31140,남구,울산 남구
31170,동구,울산 동구
31200,북구,울산 북구
31710,울주군,울산 울주군
# === 36 세종특별자치시 ===
36110,세종시,세종특별자치시
# === 41 경기도 ===
41111,수원 장안구,경기 수원시 장안구
41113,수원 권선구,경기 수원시 권선구
41115,수원 팔달구,경기 수원시 팔달구
41117,수원 영통구,경기 수원시 영통구
41131,성남 수정구,경기 성남시 수정구
41133,성남 중원구,경기 성남시 중원구
41135,성남 분당구,경기 성남시 분당구
41150,의정부시,경기 의정부시
41171,안양 만안구,경기 안양시 만안구
41173,안양 동안구,경기 안양시 동안구
41190,부천시,경기 부천시
41210,광명시,경기 광명시
41220,평택시,경기 평택시
41250,동두천시,경기 동두천시
41271,안산 상록구,경기 안산시 상록구
41273,안산 단원구,경기 안산시 단원구
41281,고양 덕양구,경기 고양시 덕양구
41285,고양 일산동구,경기 고양시 일산동구
41287,고양 일산서구,경기 고양시 일산서구
41290,과천시,경기 과천시
41310,구리시,경기 구리시
41360,남양주시,경기 남양주시
41370,오산시,경기 오산시
41390,시흥시,경기 시흥시
41410,군포시,경기 군포시
41430,의왕시,경기 의왕시
41450,하남시,경기 하남시
41461,용인 처인구,경기 용인시 처인구
41463,용인 기흥구,경기 용인시 기흥구
41465,용인 수지구,경기 용인시 수지구
41480,파주시,경기 파주시
41500,이천시,경기 이천시
41550,안성시,경기 안성시
41570,김포시,경기 김포시
41590,화성시,경기 화성시
41610,광주시,경기 광주시
41630,양주시,경기 양주시
41650,포천시,경기 포천시
41670,여주시,경기 여주시
41800,연천군,경기 연천군
41820,가평군,경기 가평군
41830,양평군,경기 양평군
# === 51 강원특별자치도 ===
51110,춘천시,강원 춘천시
51130,원주시,강원 원주시
51150,강릉시,강원 강릉시
51170,동해시,강원 동해시
51190,태백시,강원 태백시
51210,속초시,강원 속초시
51230,삼척시,강원 삼척시
51720,홍천군,강원 홍천군
51730,횡성군,강원 횡성군
51750,영월군,강원 영월군
51760,평창군,강원 평창군
51770,정선군,강원 정선군
51780,철원군,강원 철원군
51790,화천군,강원 화천군
51800,양구군,강원 양구군
51810,인제군,강원 인제군
51820,고성군,강원 고성군
51830,양양군,강원 양양군
# === 43 충청북도 ===
43111,청주 상당구,충북 청주시 상당구
43112,청주 서원구,충북 청주시 서원구
43113,청주 흥덕구,충북 청주시 흥덕구
43114,청주 청원구,충북 청주시 청원구
43130,충주시,충북 충주시
43150,제천시,충북 제천시
43720,보은군,충북 보은군
43730,옥천군,충북 옥천군
43740,영동군,충북 영동군
43745,증평군,충북 증평군
43750,진천군,충북 진천군
43760,괴산군,충북 괴산군
43770,음성군,충북 음성군
43800,단양군,충북 단양군
# === 44 충청남도 ===
44131,천안 동남구,충남 천안시 동남구
44133,천안 서북구,충남 천안시 서북구
44150,공주시,충남 공주시
44180,보령시,충남 보령시
44200,아산시,충남 아산시
44210,서산시,충남 서산시
44230,논산시,충남 논산시
44250,계룡시,충남 계룡시
44270,당진시,충남 당진시
44710,금산군,충남 금산군
44760,부여군,충남 부여군
44770,서천군,충남 서천군
44790,청양군,충남 청양군
44800,홍성군,충남 홍성군
44810,예산군,충남 예산군
44825,태안군,충남 태안군
# === 52 전북특별자치도 ===
52111,전주 완산구,전북 전주시 완산구
52113,전주 덕진구,전북 전주시 덕진구
52130,군산시,전북 군산시
52140,익산시,전북 익산시
52180,정읍시,전북 정읍시
52190,남원시,전북 남원시
52210,김제시,전북 김제시
52710,완주군,전북 완주군
52720,진안군,전북 진안군
52730,무주군,전북 무주군
52740,장수군,전북 장수군
52750,임실군,전북 임실군
52770,순창군,전북 순창군
52790,고창군,전북 고창군
52800,부안군,전북 부안군
# === 46 전라남도 ===
46110,목포시,전남 목포시
46130,여수시,전남 여수시
46150,순천시,전남 순천시
46170,나주시,전남 나주시
46230,광양시,전남 광양시
46710,담양군,전남 담양군
46720,곡성군,전남 곡성군
46730,구례군,전남 구례군
46770,고흥군,전남 고흥군
46780,보성군,전남 보성군
46790,화순군,전남 화순군
46800,장흥군,전남 장흥군
46810,강진군,전남 강진군
46820,해남군,전남 해남군
46830,영암군,전남 영암군
46840,무안군,전남 무안군
46860,함평군,전남 함평군
46870,영광군,전남 영광군
46880,장성군,전남 장성군
46890,완도군,전남 완도군
46900,진도군,전남 진도군
46910,신안군,전남 신안군
# === 47 경상북도 ===
47111,포항 남구,경북 포항시 남구
47113,포항 북구,경북 포항시 북구
47130,경주시,경북 경주시
47150,김천시,경북 김천시
47170,안동시,경북 안동시
47190,구미시,경북 구미시
47210,영주시,경북 영주시
47230,영천시,경북 영천시
47250,상주시,경북 상주시
47280,문경시,경북 문경시
47290,경산시,경북 경산시
47730,의성군,경북 의성군
47750,청송군,경북 청송군
47760,영양군,경북 영양군
47770,영덕군,경북 영덕군
47820,청도군,경북 청도군
47830,고령군,경북 고령군
47840,성주군,경북 성주군
47850,칠곡군,경북 칠곡군
47900,예천군,경북 예천군
47920,봉화군,경북 봉화군
47930,울진군,경북 울진군
47940,울릉군,경북 울릉군
# === 48 경상남도 ===
48121,창원 의창구,경남 창원시 의창구
48123,창원 성산구,경남 창원시 성산구
48125,창원 마산합포구,경남 창원시 마산합포구
48127,창원 마산회원구,경남 창원시 마산회원구
48129,창원 진해구,경남 창원시 진해구
48170,진주시,경남 진주시
48220,통영시,경남 통영시
48240,사천시,경남 사천시
48250,김해시,경남 김해시
48270,밀양시,경남 밀양시
48310,거제시,경남 거제시
48330,양산시,경남 양산시
48720,의령군,경남 의령군
48730,함안군,경남 함안군
48740,창녕군,경남 창녕군
48820,고성군,경남 고성군
48840,남해군,경남 남해군
48850,하동군,경남 하동군
48860,산청군,경남 산청군
48870,함양군,경남 함양군
48880,거창군,경남 거창군
48890,합천군,경남 합천군
# === 50 제주특별자치도 ===
50110,제주시,제주특별자치도 제주시
50130,서귀포시,제주특별자치도 서귀포시
